SCF #,SCF AO #,"SCF Assessment Objective (AO)
In addition to relevant policies, standards and procedures, the assessor shall examine, interview, and/or test to determine if appropriately scoped evidence exists to support the claim that:","PPTDF
Applicability",SCF Assessment Objective (AO) Origin(s),Notes / Errata,"Assessment
Rigor (AR)",SCF Defined Parameters (SDP),Organization Defined Parameters (ODP),"CMMC Level 1
AOs","NIST
800-53A","NIST
800-171A","NIST
800-171A R3","NIST
800-172A","Asset Type
examine/interview/test",Assessment Procedure,Expected Result(s),"Assessment Status
met / not met / not tested / an","Inherited
y/n",Assessment Frequency,Last Date Assessed,Assessment Performed By
BCD-11.1,BCD-11.1_A01,the frequency at which to test backup information for media reliability is defined.,Process,53A_R5_CP-09(01)_ODP[01],,1,at least annually,,,x,,,,,,,,,,,
BCD-11.1,BCD-11.1_A02,the frequency at which to test backup information for information integrity is defined.,Process,53A_R5_CP-09(01)_ODP[02],,3,at least annually,,,x,,,,,,,,,,,
BCD-11.1,BCD-11.1_A03,backup information is tested frequently to verify media reliability.,Process,53A_R5_CP-09(01)[01],,3,at least annually,,,x,,,,,,,,,,,
BCD-11.1,BCD-11.1_A04,backup information is tested frequently to verify information integrity.,Process,53A_R5_CP-09(01)[02],,3,at least annually,,,x,,,,,,,,,,,
BCD-11.10,BCD-11.10_A01,Role Based Access Controls (RBAC) are utilized to logically restrict access to modify and/or delete backups to privileged users with assigned data backup and recovery operations roles.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-11.2,BCD-11.2_A01,critical system software and other security-related information backups to be stored in a separate facility are defined.,Process,53A_R5_CP-09(03)_ODP,,1,,,,x,,,,,,,,,,,
BCD-11.2,BCD-11.2_A02,backup copies of critical system software and other security-related information are stored in a separate facility or in a fire rated container that is not collocated with the operational system.,Process,53A_R5_CP-09(03),,3,,,,x,,,,,,,,,,,
BCD-11.3,BCD-11.3_A01,assets are reimaged from configuration-controlled images.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-11.3,BCD-11.3_A02,"images are integrity-protected that represent a secure, operational state.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-11.4,BCD-11.4_A01,the confidentiality of backup information is protected.,Technology,"171A_3.8.9
171A_R3_A.03.08.09.a",,1,,,,,x,x,,,,,,,,,
BCD-11.4,BCD-11.4_A02,backup information to protect against unauthorized disclosure and modification is defined.,Process,53A_R5_CP-09(08)_ODP,,1,,,,x,,,,,,,,,,,
BCD-11.4,BCD-11.4_A03,cryptographic mechanisms are implemented to prevent the unauthorized disclosure of sensitive / regulated data at backup storage locations.,Technology,53A_R5_CP-09(08),,3,all backup files,,,x,,,,,,,,,,,
BCD-11.4,BCD-11.4_A04,cryptographic mechanisms are implemented to prevent the unauthorized disclosure of CUI at backup storage locations.,Data,171A_R3_A.03.08.09.b,,NIST 800-171,,,,,,x,,,,,,,,,
BCD-11.5,BCD-11.5_A01,a sample of backup information in the restoration of selected system functions is used as part of contingency plan testing.,Process,53A_R5_CP-09(02),,1,,,,x,,,,,,,,,,,
BCD-11.6,BCD-11.6_A01,system backup information is transferred to the alternate storage site for an organization-defined time period.,Process,53A_R5_CP-09(05)[01],,1,,,,x,,,,,,,,,,,
BCD-11.6,BCD-11.6_A02,time period consistent with recovery time and recovery point objectives is defined.,Process,53A_R5_CP-09(05)_ODP[01],,3,,,,x,,,,,,,,,,,
BCD-11.6,BCD-11.6_A03,transfer rate consistent with recovery time and recovery point objectives is defined.,Process,53A_R5_CP-09(05)_ODP[02],,3,,,,x,,,,,,,,,,,
BCD-11.6,BCD-11.6_A04,system backup information is transferred to the alternate storage site transfer rate.,Technology,53A_R5_CP-09(05)[02],,3,,,,x,,,,,,,,,,,
BCD-11.7,BCD-11.7_A01,system backup is conducted by maintaining a redundant secondary system that can be activated without loss of information or disruption to operations.,Process,53A_R5_CP-09(06)[02],,1,,,,x,,,,,,,,,,,
BCD-11.7,BCD-11.7_A02,system backup is conducted by maintaining a redundant secondary system that is not collocated with the primary system.,Process,53A_R5_CP-09(06)[01],,3,,,,x,,,,,,,,,,,
BCD-11.8,BCD-11.8_A01,critical or sensitive system and organizational operations for which dual authorization is to be enforced are identified.,Process,172A_3.1.1e[a],,1,,,,,,,x,,,,,,,,
BCD-11.8,BCD-11.8_A02,dual authorization is employed to execute critical or sensitive system and organizational operations.,Process,172A_3.1.1e[b],,1,,,,,,,x,,,,,,,,
BCD-11.8,BCD-11.8_A03,backup information for which to enforce dual authorization in order to delete or destroy is defined.,Process,53A_R5_CP-09(07)_ODP,,3,,,,x,,,,,,,,,,,
BCD-11.8,BCD-11.8_A04,dual authorization for the deletion or destruction of backup information is enforced.,Technology,53A_R5_CP-09(07),,3,,,,x,,,,,,,,,,,
BCD-11.9,BCD-11.9_A01,Role Based Access Controls (RBAC) are utilized to logically restrict access to backups to privileged users with assigned roles for data backup and recovery operations.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-11.9,BCD-11.9_A02,Physical Access Controls (PAC) are utilized to physically restrict access to backups to privileged users with assigned roles for data backup and recovery operations.,Facility,SCF Created,,1,,,,,,,,,,,,,,,
BCD-12,BCD-12_A01,"secure baseline configurations exist for systems, applications and/or services protect the confidentiality and integrity of data being stored, processed and/or transmitted.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-12,BCD-12_A02,"systems, applications and/or services are securely recovered / reconstituted to a known, trusted state after a disruption, compromise or failure.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-12.1,BCD-12.1_A01,transaction recovery is implemented for systems that are transaction-based.,Technology,53A_R5_CP-10(02),,1,,,,x,,,,,,,,,,,
BCD-12.2,BCD-12.2_A01,system components for which Mean Time to Failure (MTTF) should be determined are defined.,Process,53A_R5_SI-13_ODP[01],,1,,,,x,,,,,,,,,,,
BCD-12.2,BCD-12.2_A02,Mean Time to Failure (MTTF) is determined for system components in specific environments of operation.,Process,53A_R5_SI-13a.,,1,,,,x,,,,,,,,,,,
BCD-12.2,BCD-12.2_A03,Mean Time to Failure (MTTF) substitution criteria to be used as a means to exchange active and standby components are defined.,Process,53A_R5_SI-13_ODP[02],,3,,,,x,,,,,,,,,,,
BCD-12.2,BCD-12.2_A04,substitute system components and a means to exchange active and standby components are provided in accordance with Mean Time to Failure (MTTF) substitution criteria.,Process,53A_R5_SI-13b.,,3,,,,x,,,,,,,,,,,
BCD-12.3,BCD-12.3_A01,electronic discovery (eDiscovery) capabilities cover current and archived communication transactions.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-12.4,BCD-12.4_A01,"the capability to restore system components within organization-defined restoration time periods from configuration-controlled and integrity-protected information representing a known, operational state for the components is provided.",Technology,53A_R5_CP-10(04),,1,,,,x,,,,,,,,,,,
BCD-12.4,BCD-12.4_A02,"restoration time period within which to restore system components to a known, operational state is defined.",Process,53A_R5_CP-10(04)_ODP,,3,,,,x,,,,,,,,,,,
BCD-13,BCD-13_A01,system components used for recovery and reconstitution are protected.,Technology,53A_R5_CP-10(06),,1,,,,x,,,,,,,,,,,
BCD-13.1,BCD-13.1_A01,methods to verify the integrity of backups and other restoration assets are defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
BCD-13.1,BCD-13.1_A02,"the integrity of backups and other restoration assets is verified, prior to using them for restoration.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-14,BCD-14_A01,"the organization utilizes an isolated, non-production environment to perform data backups via offline, cloud or off-site capabilities.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-14,BCD-14_A02,"the organization utilizes an isolated, non-production environment to perform recovery operations through offline, cloud or off-site capabilities.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
BCD-15,BCD-15_A01,systems and system components that are or may be hard to replace in a supply chain disruption are identified.,Process,SCF Created,,1,,,,,,,,,,,,,,,
BCD-15,BCD-15_A02,resources are allocated to obtain hard to replace identified systems and system components for critical business functions.,Process,SCF Created,,1,,,,,,,,,,,,,,,
BCD-15,BCD-15_A03,a pool of hard to replace identified systems and system components for critical business functions is maintained.,Process,SCF Created,,1,,,,,,,,,,,,,,,
BCD-16,BCD-16_A01,an incident handling capability for incidents involving Artificial Intelligence (AI) and Autonomous Technologies (AAT) exists.,Process,SCF Created,,1,,,,,,,,,,,,,,,
BCD-16,BCD-16_A02,processes are in place to handle failures or incidents in third-party data or Artificial Intelligence (AI) and Autonomous Technologies (AAT) deemed to be high-risk.,Process,SCF Created,,1,,,,,,,,,,,,,,,
CAP-01,CAP-01_A01,resources to be allocated to protect the availability of resources are defined.,Process,53A_R5_SC-06_ODP[01],,1,,,,x,,,,,,,,,,,
CAP-01,CAP-01_A02,controls to protect the availability of resources are defined.,Process,"53A_R5_SC-06_ODP[02]
53A_R5_SC-06_ODP[03]",,3,,,,x,,,,,,,,,,,
CAP-01,CAP-01_A03,the availability of resources is protected by allocating resources per organization-defined criteria.,Process,53A_R5_SC-06,,3,,,,x,,,,,,,,,,,
CAP-01,CAP-01_A04,"capacity & performance planning operations are conducted according to documented policies, standards, procedures and/or other organizational directives.",Process,SCF Created,,1,,,,,,,,,,,,,,,
CAP-01,CAP-01_A05,"adequate resources (e.g., people, processes, technologies, data and/or facilities) are provided to support capacity & performance planning operations.",Process,SCF Created,,1,,,,,,,,,,,,,,,
CAP-01,CAP-01_A06,responsibility and authority for the performance of capacity & performance planning-related activities are assigned to designated personnel.,People,SCF Created,,1,,,,,,,,,,,,,,,
CAP-01,CAP-01_A07,personnel performing capacity & performance planning-related activities have the skills and knowledge needed to perform their assigned duties.,People,SCF Created,,2,,,,,,,,,,,,,,,
CAP-02,CAP-02_A01,types of denial-of-service events to be protected against or limited are defined.,Process,53A_R5_SC-05_ODP[01],,1,,,,x,,,,,,,,,,,
CAP-02,CAP-02_A02,controls by type of denial-of-service event are employed to achieve the denial-of-service protection objective.,Technology,53A_R5_SC-05b.,,1,,,,x,,,,,,,,,,,
CAP-02,CAP-02_A03,resource prioritization is designed to limit negative effects of denial-of-service events.,Process,53A_R5_SC-05_ODP[02],,3,,,,x,,,,,,,,,,,
CAP-02,CAP-02_A04,controls to achieve the denial-of-service objective by type of denial-of-service event are defined.,Process,53A_R5_SC-05_ODP[03],,3,,,,x,,,,,,,,,,,
CAP-02,CAP-02_A05,the effects of types of denial-of-service events are organizationally-defined.,Process,53A_R5_SC-05a.,,3,,,,x,,,,,,,,,,,
CAP-03,CAP-03_A01,capacity planning is conducted so that the necessary capacity exists during contingency operations for information processing.,Process,53A_R5_CP-02(02)[01],,1,,,,x,,,,,,,,,,,
CAP-03,CAP-03_A02,capacity planning is conducted so that the necessary capacity exists during contingency operations for telecommunications.,Process,53A_R5_CP-02(02)[02],,3,,,,x,,,,,,,,,,,
CAP-03,CAP-03_A03,capacity planning is conducted so that the necessary capacity exists during contingency operations for environmental support.,Process,53A_R5_CP-02(02)[03],,3,,,,x,,,,,,,,,,,
CAP-04,CAP-04_A01,"the operating state and health status of critical systems, applications and services is centrally-monitored.",Process,SCF Created,,1,,,,,,,,,,,,,,,
CAP-05,CAP-05_A01,"resources needing dynamic expansion (e.g., elasticity) are defined. ",Process,SCF Created,,1,,,,,,,,,,,,,,,
CAP-05,CAP-05_A02,"applicable services are configured to dynamically expand the resources available for services, as demand conditions change.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
CAP-06,CAP-06_A01,business processes requiring regional delivery of technological services are identified.,Process,SCF Created,,1,,,,,,,,,,,,,,,
CAP-06,CAP-06_A02,applicable services are configured to support geographically dispersed business processes requiring regional delivery of technological services.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
CFG-01,CFG-01_A01,the scope for the configuration management plan is organization-wide.,Process,53A_R5_CM-01_ODP[03],,1,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A02,the types of changes to the system that are configuration-controlled are defined.,Process,171A_R3_A.03.04.03.a,,1,,,,,,x,,,,,,,,,
CFG-01,CFG-01_A03,"a configuration management plan for systems, applications and services is developed and documented.",Process,53A_R5_CM-09[01],,1,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A04,"a configuration management plan for systems, applications and services is implemented.",Process,53A_R5_CM-09[02],,1,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A05,the current configuration management policy is reviewed / updated organization-defined frequency.,Process,53A_R5_CM-01c.01[01],,3,at least annually,,,x,,,,,,,,,,,
CFG-01,CFG-01_A06,the current configuration management policy is reviewed / updated following organization-defined events.,Process,53A_R5_CM-01c.01[02],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A07,personnel or roles to review and approve the configuration management plan is/are defined.,Process,53A_R5_CM-09_ODP,,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A08,the configuration management plan addresses roles.,Process,53A_R5_CM-09a.[01],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A09,the configuration management plan addresses responsibilities.,Process,53A_R5_CM-09a.[02],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A10,the configuration management plan addresses configuration management processes and procedures.,Process,53A_R5_CM-09a.[03],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A11,the configuration management plan establishes a process for identifying configuration items throughout the system development life cycle.,Process,53A_R5_CM-09b.[01],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A12,the configuration management plan establishes a process for managing the configuration of the configuration items.,Process,53A_R5_CM-09b.[02],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A13,the configuration management plan defines the configuration items for the system.,Process,53A_R5_CM-09c.[01],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A14,the configuration management plan places the configuration items under configuration management.,Process,53A_R5_CM-09c.[02],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A15,the configuration management plan is reviewed and approved by organization-defined personnel or roles.,Process,53A_R5_CM-09d.,,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A16,the configuration management plan is protected from unauthorized disclosure.,Process,53A_R5_CM-09e.[01],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A17,the configuration management plan is protected from unauthorized modification.,Process,53A_R5_CM-09e.[02],,3,,,,x,,,,,,,,,,,
CFG-01,CFG-01_A18,"configuration management operations are conducted according to documented policies, standards, procedures and/or other organizational directives.",Process,SCF Created,,1,,,,,,,,,,,,,,,
CFG-01,CFG-01_A19,"adequate resources (e.g., people, processes, technologies, data and/or facilities) are provided to support configuration management operations.",Process,SCF Created,,1,,,,,,,,,,,,,,,
CFG-01,CFG-01_A20,responsibility and authority for the performance of configuration management-related activities are assigned to designated personnel.,People,SCF Created,,1,,,,,,,,,,,,,,,
CFG-01,CFG-01_A21,personnel performing configuration management-related activities have the skills and knowledge needed to perform their assigned duties.,People,SCF Created,,2,,,,,,,,,,,,,,,
CFG-01.1,CFG-01.1_A01,the responsibility for developing the configuration management process is assigned to organizational personnel who are not directly involved in system development.,People,53A_R5_CM-09(01),,1,,,,x,,,,,,,,,,,
CFG-02,CFG-02_A01,"a current baseline configuration for systems, applications and services is developed and documented.",Process,"171A_3.4.1[a]
171A_3.4.2[a]
53A_R5_CM-02a.[01]",,1,,,,x,x,,,,,,,,,,
CFG-02,CFG-02_A02,"the baseline configuration includes hardware, software, firmware and documentation.",Technology,171A_3.4.1[b],,1,,,,,x,,,,,,,,,,
CFG-02,CFG-02_A03,security configuration settings for information technology products employed in the system are enforced.,Technology,"171A_3.4.2[b]
53A_R5_CM-06b.",,1,,,,x,x,,,,,,,,,,
CFG-02,CFG-02_A04,the baseline configuration is maintained (reviewed / updated) throughout the system development life cycle under configuration control.,Process,"171A_3.4.1[c]
53A_R5_CM-02a.[02]",,1,,,,x,x,,,,,,,,,,
CFG-02,CFG-02_A05,configuration settings that reflect the most restrictive mode consistent with operational requirements are established and documented for components employed within the system using organization-defined common secure configurations.,Process,53A_R5_CM-06a.,,1,,,,x,,,,,,,,,,,
CFG-02,CFG-02_A06,thresholds to which attack surfaces are to be reduced are defined.,Process,53A_R5_SA-15(05)_ODP,,2,,,,x,,,,,,,,,,,
CFG-02,CFG-02_A07,"the developer of the system, system component or system service is required to reduce attack surfaces to organization-defined thresholds.",Process,53A_R5_SA-15(05),,2,,,,x,,,,,,,,,,,
CFG-02,CFG-02_A08,a control baseline for the system is selected.,Technology,53A_R5_PL-10,,3,,,,x,,,,,,,,,,,
CFG-02,CFG-02_A09,approved authorizations are enforced for controlling the flow of CUI within the system.,Data,171A_R3_A.03.01.03[01],,NIST 800-171,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A10,configuration requirements are established for each type of wireless access to the system.,Technology,171A_R3_A.03.01.16.a[03],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A11,wireless networking capabilities not intended for use are disabled prior to issuance and deployment.,Technology,171A_R3_A.03.01.16.c,,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A12,configuration requirements are established for mobile devices.,Technology,171A_R3_A.03.01.18.a[02],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A13,"audit logging tools are protected from unauthorized access, modification, and deletion.",Technology,"171A_3.3.8[d]
171A_3.3.8[e]
171A_3.3.8[f]
171A_R3_A.03.03.08.a[02]",,2,,,,,x,x,,,,,,,,,
CFG-02,CFG-02_A14,a current baseline configuration of the system is developed.,Technology,171A_R3_A.03.04.01.a[01],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A15,a current baseline configuration of the system is maintained under configuration control.,Technology,171A_R3_A.03.04.01.a[02],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A16,the following configuration settings for the system that reflect the most restrictive mode consistent with operational requirements are established and documented: <A.03.04.02.ODP[01]: configuration settings>.,Process,171A_R3_A.03.04.02.a[01],"US DoD ODP Value: Apply the appropriate use of common security configurations available from the National Institute of Standards and Technology’s National Checklist Program (NCP) website (https://ncp.nist.gov/repository) and prevent remote devices from simultaneously establishing nonremote connections with organizational systems and communicating via some other unauthorized connection to
resources in external networks. Document any deviations from the published standard or source document.",NIST 800-171,"Apply the appropriate use of common security configurations available from the National Institute of Standards and Technology’s National Checklist Program (NCP) website (https://ncp.nist.gov/repository) and prevent remote devices from simultaneously establishing nonremote connections with organizational systems and communicating via some other unauthorized connection to
resources in external networks. Document any deviations from the published standard or source document.",,,,,x,,,,,,,,,
CFG-02,CFG-02_A17,the following configuration settings for the system are implemented: <A.03.04.02.ODP[01]: configuration settings>.,Technology,171A_R3_A.03.04.02.a[02],"US DoD ODP Value: Apply the appropriate use of common security configurations available from the National Institute of Standards and Technology’s National Checklist Program (NCP) website (https://ncp.nist.gov/repository) and prevent remote devices from simultaneously establishing nonremote connections with organizational systems and communicating via some other unauthorized connection to
resources in external networks. Document any deviations from the published standard or source document.",NIST 800-171,"Apply the appropriate use of common security configurations available from the National Institute of Standards and Technology’s National Checklist Program (NCP) website (https://ncp.nist.gov/repository) and prevent remote devices from simultaneously establishing nonremote connections with organizational systems and communicating via some other unauthorized connection to
resources in external networks. Document any deviations from the published standard or source document.",,,,,x,,,,,,,,,
CFG-02,CFG-02_A18,functions to be prohibited or restricted are defined.,Process,171A_R3_A.03.04.06.ODP[01],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A19,ports to be prohibited or restricted are defined.,Process,171A_R3_A.03.04.06.ODP[02],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A20,protocols to be prohibited or restricted are defined.,Process,171A_R3_A.03.04.06.ODP[03],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A21,connections to be prohibited or restricted are defined.,Process,171A_R3_A.03.04.06.ODP[04],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A22,services to be prohibited or restricted are defined.,Process,171A_R3_A.03.04.06.ODP[05],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A23,the use of the following functions is prohibited or restricted: <A.03.04.06.ODP[01]: functions>.,Technology,171A_R3_A.03.04.06.b[01],"US DoD ODP Value: Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",NIST 800-171,"Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",,,,,x,,,,,,,,,
CFG-02,CFG-02_A24,the use of the following ports is prohibited or restricted: <A.03.04.06.ODP[02]: ports>.,Technology,171A_R3_A.03.04.06.b[02],"US DoD ODP Value: Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",NIST 800-171,"Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",,,,,x,,,,,,,,,
CFG-02,CFG-02_A25,the use of the following protocols is prohibited or restricted: <A.03.04.06.ODP[03]: protocols>.,Technology,171A_R3_A.03.04.06.b[03],"US DoD ODP Value: Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",NIST 800-171,"Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",,,,,x,,,,,,,,,
CFG-02,CFG-02_A26,the use of the following connections is prohibited or restricted: <A.03.04.06.ODP[04]: connections>.,Technology,171A_R3_A.03.04.06.b[04],"US DoD ODP Value: Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",NIST 800-171,"Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",,,,,x,,,,,,,,,
CFG-02,CFG-02_A27,the use of the following services is prohibited or restricted: <A.03.04.06.ODP[05]: services>.,Technology,171A_R3_A.03.04.06.b[05],"US DoD ODP Value: Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",NIST 800-171,"Guidance: Where feasible, organizations should limit component functionality to a single function per component. Organizations should consider removing unused or unnecessary software and disabling unused or unnecessary physical and logical ports and protocols to prevent unauthorized connection of components, transfer of information, and tunneling. Organizations should employ network scanning tools, intrusion detection and prevention systems, and endpoint protection technologies, such as firewalls and host-based intrusion detection systems, to identify and prevent the use of prohibited functions, protocols, ports, and services. Least functionality should also be achieved as part of the fundamental design and development of the system.",,,,,x,,,,,,,,,
CFG-02,CFG-02_A28,replay-resistant authentication mechanisms for access to privileged accounts are implemented.,Technology,171A_R3_A.03.05.04[01],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A29,replay-resistant authentication mechanisms for access to non-privileged accounts are implemented.,Technology,171A_R3_A.03.05.04[02],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A30,passwords are only transmitted over cryptographically protected channels.,Technology,171A_R3_A.03.05.07.c,,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A31,passwords are stored in a cryptographically protected form.,Technology,171A_R3_A.03.05.07.d,,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A32,a new password is selected upon first use after account recovery.,Technology,171A_R3_A.03.05.07.e,,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A33,organization-defined composition and complexity rules for passwords are enforced.,Technology,SCF Created,,3,,,,,,,,,,,,,,,
CFG-02,CFG-02_A34,replay resistance is implemented in the establishment of nonlocal maintenance and diagnostic sessions.,Technology,171A_R3_A.03.07.05.b[02],,2,,,,,,x,,,,,,,,,
CFG-02,CFG-02_A35,the following composition and complexity rules for passwords are enforced: <A.03.05.07.ODP[02]: rules>.,Technology,171A_R3_A.03.05.07.f,"US DoD ODP Values:
(1) Must have a minimum length of 16 characters.
(2) Contains a string of characters that does not include the user’s account name or full name.",NIST 800-171,"SDP values:
(1) Must have a minimum length of 16 characters.
(2) Contains a string of characters that does not include the user’s account name or full name.",,,,,x,,,,,,,,,
CFG-02.1,CFG-02.1_A01,the circumstances requiring baseline configuration review / update are defined.,Process,53A_R5_CM-02_ODP[02],,1,,,,x,,,,,,,,,,,
CFG-02.1,CFG-02.1_A02,the baseline configuration of the system is reviewed / updated when required due to organization-defined circumstances.,Technology,53A_R5_CM-02b.02,,1,at least annually and when a significant change occurs,,,x,,,,,,,,,,,
CFG-02.1,CFG-02.1_A03,the frequency of baseline configuration review / update is defined.,Process,"171A_R3_A.03.04.01.ODP[01]
53A_R5_CM-02_ODP[01]",,2,at least annually,,,x,,x,,,,,,,,,
CFG-02.1,CFG-02.1_A04,the baseline configuration of the system is reviewed per an organization-defined frequency.,Process,53A_R5_CM-02b.01,,3,at least annually and when a significant change occurs,,,x,,,,,,,,,,,
CFG-02.1,CFG-02.1_A05,the baseline configuration of the system is updated per an organization-defined frequency.,Process,SCF Created,,3,when a significant change occurs,,,,,,,,,,,,,,
CFG-02.1,CFG-02.1_A06,the baseline configuration of the system is reviewed when system components are installed or modified.,Technology,"171A_R3_A.03.04.01.b[03]
53A_R5_CM-02b.03",,2,,,,x,,x,,,,,,,,,
CFG-02.1,CFG-02.1_A07,the baseline configuration of the system is updated when system components are installed or modified.,Technology,"171A_R3_A.03.04.01.b[04]
53A_R5_CM-02b.03",,2,,,,x,,x,,,,,,,,,
